City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,malka,43.8039,43.3242,13.51,42,69,2.47,RU,1697479479
276,aykhal,66.0,111.5,-3.85,94,99,4.92,RU,1697479479
277,sitka,57.0531,-135.33,11.13,82,100,2.85,US,1697479360
278,melfort,52.8667,-104.6177,10.07,62,34,2.57,CA,1697479480
279,glen cove,40.8623,-73.6337,18.39,58,54,2.24,US,1697479480
280,solwezi,-12.1688,26.3894,21.56,65,85,2.71,ZM,1697479260
281,vama,47.5667,25.6833,5.42,87,15,2.32,RO,1697479481
282,bonthe,7.5264,-12.505,27.44,77,61,3.46,SL,1697479481
283,aberdeen,57.1437,-2.0981,9.74,83,100,1.54,GB,1697479295
284,brisas de zicatela,15.8369,-97.0419,30.29,54,40,4.12,MX,1697479481
285,sur,22.5667,59.5289,28.54,68,47,5.42,OM,1697479482
286,toba tek singh,30.9743,72.4827,19.99,73,15,5.02,PK,1697479482
287,whangarei,-35.7317,174.3239,14.69,89,83,2.7,NZ,1697479482
288,ocean shores,46.9737,-124.1563,15.57,97,100,6.69,US,1697479483
289,akureyri,65.6835,-18.0878,2.96,87,75,5.14,IS,1697479208
290,al qaryatayn,34.2296,37.2407,17.65,63,0,3.93,SY,1697479483
291,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,74,75,2.06,BR,1697479484
292,bocas del toro,9.3333,-82.25,26.77,71,100,1.34,PA,1697479484
293,beau vallon,-20.4189,57.6953,24.01,78,20,1.54,MU,1697479486
294,doaba,33.4244,70.7364,15.23,78,100,1.53,PK,1697479486
295,kaya,13.0917,-1.0844,32.74,34,92,0.66,BF,1697479487
296,andergrove,-21.0833,149.1833,17.03,83,45,2.55,AU,1697479487
297,syzran',53.1585,48.4681,12.76,55,17,6.96,RU,1697479487
298,ceerigaabo,10.6162,47.368,19.87,31,17,3.15,SO,1697479488
299,altamira,-3.2033,-52.2064,35.05,49,40,3.09,BR,1697479349
300,labytnangi,66.6572,66.4183,1.02,98,99,2.52,RU,1697479489
301,bandar-e anzali,37.4727,49.4622,17.78,87,50,2.11,IR,1697479220
302,agat village,13.3886,144.6585,27.52,90,0,1.54,GU,1697479489
303,tra mhor,52.1624,-7.1524,10.9,71,40,4.12,IE,1697479489
304,karratha,-20.7377,116.8463,28.12,25,0,3.87,AU,1697479490
305,antofagasta,-23.65,-70.4,18.6,74,54,4.29,CL,1697479213
306,nova sintra,14.8667,-24.7167,25.64,73,61,6.82,CV,1697479491
307,nouadhibou,20.931,-17.0347,28.99,51,38,6.69,MR,1697479492
308,pionerskiy,54.9508,20.2275,9.3,55,0,7.69,RU,1697479493
309,kyshtovka,56.555,76.6271,6.86,67,100,5.81,RU,1697479493
310,hilo,19.7297,-155.09,30.16,84,23,1.34,US,1697479389
311,biltine,14.5333,20.9167,33.34,14,92,4.68,TD,1697479494
312,camana,-16.6228,-72.7111,21.91,68,24,4.05,PE,1697479495
313,buchanan,5.8808,-10.0467,25.53,86,100,3.35,LR,1697479496
314,arraias,-12.9288,-46.9437,37.8,12,3,3.6,BR,1697479496
315,serhiyivka,46.0272,30.3768,10.09,60,1,8.63,UA,1697479496
316,selkirk,50.1436,-96.8845,13.99,59,15,1.79,CA,1697479400
317,freeport,40.6576,-73.5832,18.51,56,40,6.17,US,1697479416
318,yung shue wan,22.2333,114.1167,26.68,67,94,11.58,HK,1697479497
319,fort saskatchewan,53.7168,-113.2187,15.06,67,75,2.24,CA,1697479297
320,wucheng,29.6008,118.175,15.73,77,0,0.97,CN,1697479497
321,rampur,28.8167,79.0333,19.33,86,98,0.83,IN,1697479497
322,vorkuta,67.5,64.0,1.71,99,100,4.47,RU,1697479498
323,canyon lake,29.8752,-98.2625,22.84,39,0,4.02,US,1697479488
324,holualoa,19.6228,-155.9522,23.77,84,74,1.23,US,1697479331
325,poso,-1.3959,120.7524,25.08,80,10,2.05,ID,1697479500
326,dalandzadgad,43.5708,104.425,9.3,22,100,6.91,MN,1697479369
327,papao,-17.75,-149.55,26.82,83,100,5.81,PF,1697479501
328,sumenep,-7.0167,113.8667,27.05,78,99,5.8,ID,1697479501
